"","run_id","date","time","model","albert einstein","brian greene","david j wineland","edward witten","frank wilczek","leon lederman","leon m lederman","lisa randall","marie curie","murray gell mann","neil degrasse tyson","niels bohr","richard feynman","richard p feynman","sean carroll","sheldon glashow","stephen hawking","steven weinberg","vera rubin"
"1","g2_top5_1209_00","2024-12-09","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"2","g2_top5_1209_00","2024-12-09","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"3","g2_top5_1209_00","2024-12-09","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"4","g2_top5_1209_00","2024-12-09","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"5","g2_top5_1209_00","2024-12-09","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"6","g2_top5_1209_08","2024-12-09","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"7","g2_top5_1209_08","2024-12-09","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"8","g2_top5_1209_08","2024-12-09","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"9","g2_top5_1209_08","2024-12-09","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"10","g2_top5_1209_08","2024-12-09","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"11","g2_top5_1209_16","2024-12-09","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"12","g2_top5_1209_16","2024-12-09","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"13","g2_top5_1209_16","2024-12-09","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"14","g2_top5_1209_16","2024-12-09","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"15","g2_top5_1209_16","2024-12-09","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"16","g2_top5_1210_00","2024-12-10","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"17","g2_top5_1210_00","2024-12-10","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"18","g2_top5_1210_00","2024-12-10","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"19","g2_top5_1210_00","2024-12-10","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"20","g2_top5_1210_00","2024-12-10","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"21","g2_top5_1210_08","2024-12-10","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"22","g2_top5_1210_08","2024-12-10","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"23","g2_top5_1210_08","2024-12-10","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"24","g2_top5_1210_08","2024-12-10","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"25","g2_top5_1210_08","2024-12-10","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"26","g2_top5_1210_16","2024-12-10","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"27","g2_top5_1210_16","2024-12-10","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"28","g2_top5_1210_16","2024-12-10","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"29","g2_top5_1210_16","2024-12-10","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"30","g2_top5_1210_16","2024-12-10","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"31","g2_top5_1211_00","2024-12-11","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"32","g2_top5_1211_00","2024-12-11","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"33","g2_top5_1211_00","2024-12-11","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"34","g2_top5_1211_00","2024-12-11","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"35","g2_top5_1211_00","2024-12-11","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"36","g2_top5_1211_08","2024-12-11","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"37","g2_top5_1211_08","2024-12-11","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"38","g2_top5_1211_08","2024-12-11","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"39","g2_top5_1211_08","2024-12-11","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"40","g2_top5_1211_08","2024-12-11","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"41","g2_top5_1211_16","2024-12-11","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"42","g2_top5_1211_16","2024-12-11","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"43","g2_top5_1211_16","2024-12-11","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"44","g2_top5_1211_16","2024-12-11","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"45","g2_top5_1211_16","2024-12-11","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"46","g2_top5_1212_00","2024-12-12","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"47","g2_top5_1212_00","2024-12-12","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"48","g2_top5_1212_00","2024-12-12","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"49","g2_top5_1212_00","2024-12-12","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"50","g2_top5_1212_00","2024-12-12","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"51","g2_top5_1212_08","2024-12-12","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"52","g2_top5_1212_08","2024-12-12","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"53","g2_top5_1212_08","2024-12-12","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"54","g2_top5_1212_08","2024-12-12","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"55","g2_top5_1212_08","2024-12-12","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"56","g2_top5_1212_16","2024-12-12","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"57","g2_top5_1212_16","2024-12-12","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"58","g2_top5_1212_16","2024-12-12","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"59","g2_top5_1212_16","2024-12-12","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"60","g2_top5_1212_16","2024-12-12","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"61","g2_top5_1213_00","2024-12-13","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"62","g2_top5_1213_00","2024-12-13","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"63","g2_top5_1213_00","2024-12-13","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"64","g2_top5_1213_00","2024-12-13","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"65","g2_top5_1213_00","2024-12-13","00:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"66","g2_top5_1213_08","2024-12-13","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"67","g2_top5_1213_08","2024-12-13","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"68","g2_top5_1213_08","2024-12-13","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"69","g2_top5_1213_08","2024-12-13","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"70","g2_top5_1213_08","2024-12-13","08:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"71","g2_top5_1213_16","2024-12-13","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"72","g2_top5_1213_16","2024-12-13","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"73","g2_top5_1213_16","2024-12-13","16:00","gemma2-9b",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
